Date,Year,Companies,Transaction Type,Deal Value,Key Details,Source File,SDC Deal No,Date Announced,Rank Date,Rank Value inc. Net Debt of Target,Target Full Name,Target PermID,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror PermID,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,M&A TRBC Activity,M&A Type,Deal Status,Deal Synopsis,Target Business Description,Acquiror Short Business Description,Acquisition Techniques,Buyouts or Financial Sponsor Involvement Flag,Deal Type,Cross Border Deal Flag,Enterprise Value at Announcement,Enterprise Value at Effective Date,Target Market Value 4 Weeks Prior to Announcement,Acquiror Market Value 4 Weeks Prior to Announcement,Premium Paid - 1 Day Prior to Announcement,Premium Paid - 1 Week Prior to Announcement,Premium Paid - 4 Weeks Prior to Announcement,Ratio of Transaction Value to Sales,Ratio of Deal Value to EBIT,Ratio of Deal Value to EBITDA,Ratio of Deal Value to Net Income,Target Stock Price on Announcement Day,Research & Development Expense Last 12 Months,Research & Development Expense 2 Years Prior,Research & Development Expense 3 Years Prior,Defensive Tactics,Defensive Tactics Flag,EBIT Margin,EBIT 3 Year Growth Rate Percentage,EBIT 5 Year Growth Rate Percentage,EBITDA 3 Year Growth Rate,EBITDA 5 Year Growth Rate,Net Sales 2 Year Growth Rate,Net Sales 3 Year Growth Rate,Leveraged Buyout Flag,Date Withdrawn,Date Originally Announced,Target High Share Price Last 12 Months,Corresponding transcript,Unnamed: 53
2021-04-01,2021,Eloxx Pharmaceuticals acquiring Zikani Therapeutics,Acquisition,~$115M received,"All-stock, Zikani shareholders ~16%",2021-Apr-01-ELOX.PK,3724295020.0,2021-04-01,2021-04-01,25.221,Zikani Therapeutics Inc,5045504774,Healthcare,Biotechnology,United States,Eloxx Pharmaceuticals Inc,4295914898,Healthcare,Biotechnology,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Eloxx Pharmaceuticals Inc (Eloxx) acquired the entire share capital of Zikani Therapeutics Inc (Zikani), a Watertown-based provider of biotechnology research and development services, for a total USD 25.221 mil, in a stock swap transaction.","Zikani Therapeutics Inc, located in Watertown, Massachusetts, is a anti-infective company. The Company focuses on the discovery and development of macrolide antibiotics for the treatment of bacterial infections caused by drug-resistant pathogens. The Company synthesizes a range of macrolides, and the compounds show anti-bacterial activity. The Company is focused on extending the anti-bacterial spectrum of the macrolide class, both in Gram-negative infections and Gram-positive organisms.",Research and Development in Biotechnology,Stock Swap,True,Disclosed Value,False,25.221,25.221,,,,,,,0.0,0.0,,,,,,Not Applicable,False,0.0,0.0,0.0,,,,0.0,False,,2021-04-01,,2021-Apr-01-ELOX.PK-141144367418-Transcript,
2021-04-01,2021,Eloxx Pharmaceuticals acquiring Zikani Therapeutics,Acquisition,~$115M received,"All-stock, Zikani shareholders ~16%",2021-Apr-01-ELOX.PK,3724295020.0,2021-04-01,2021-04-01,25.221,Zikani Therapeutics Inc,5045504774,Healthcare,Biotechnology,United States,Eloxx Pharmaceuticals Inc,4295914898,Healthcare,Biotechnology,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Eloxx Pharmaceuticals Inc (Eloxx) acquired the entire share capital of Zikani Therapeutics Inc (Zikani), a Watertown-based provider of biotechnology research and development services, for a total USD 25.221 mil, in a stock swap transaction.","Zikani Therapeutics Inc, located in Watertown, Massachusetts, is a anti-infective company. The Company focuses on the discovery and development of macrolide antibiotics for the treatment of bacterial infections caused by drug-resistant pathogens. The Company synthesizes a range of macrolides, and the compounds show anti-bacterial activity. The Company is focused on extending the anti-bacterial spectrum of the macrolide class, both in Gram-negative infections and Gram-positive organisms.",Research and Development in Biotechnology,Stock Swap,True,Disclosed Value,False,25.221,25.221,,,,,,,0.0,0.0,,,,,,Not Applicable,False,0.0,0.0,0.0,,,,0.0,False,,2021-04-01,,2021-Apr-01-ELOX.PK-141144367418-Transcript,
2021-04-15,2021,Precision BioSciences reacquiring rights from Servier,Asset Reacquisition,$20M + milestone waivers,CAR T programs global rights,2021-Apr-15-DTIL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Apr-15-DTIL.OQ-140344194352-Transcript,
2021-04-15,2021,Precision BioSciences reacquiring rights from Servier,Asset Reacquisition,$20M + milestone waivers,CAR T programs global rights,2021-Apr-15-DTIL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Apr-15-DTIL.OQ-140344194352-Transcript,
2021-04-15,2021,Thermo Fisher Scientific acquiring PPD Inc,Acquisition,$17.4B cash + $3.5B debt,CRO pharma/biotech expansion,2021-Apr-15-TMO.N,3728332020.0,2021-04-15,2021-04-15,20728.433,PPD Inc,5071172659,Healthcare,Biotechnology,United States,Thermo Fisher Scientific Inc,4295905068,Healthcare,Healthcare Equipment & Supplies,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Thermo Fisher Scientific Inc (Thermo) acquired the entire share capital of PPD Inc (PPD), a Wilmington-based provider of biotechnology research and development services, from Hellman & Friedman LLC (37.921%), The Carlyle Group Inc (15.907%), and other shareholders, for USD 47.50 in cash per share, or a total value of USD 17.307 bil. Originally, in April 2021, Thermo was rumored to be planning to acquire PPD.","PPD Inc, located in Wilmington, North Carolina is a biotechnology research and development holding company. The Company provides clinical development and laboratory services to pharmaceutical, biotechnology, medical device and government organizations, as well as other industry participants. The Company's business segments include Clinical Development Services segment and Laboratory Services segment. Its Clinical Development Services offerings span the lifecycle of clinical product development and includes product development and consulting services, early development services, phases II-IV clinical trial management, accelerated enrollment solutions, pre- and post-approval services and medical communications. The Company's Laboratory Services segment offers bioanalytical laboratory services, biomarker laboratory services, vaccine science services, good manufacturing practice (GMP) laboratory services and central laboratory services.",Electromedical and Electrotherapeutic Apparatus Manufacturing,Rumored Deal,True,Disclosed Value,False,20675.254775,20674.5475,13357.153,175533.391,23.83,25.43,24.8,3.47,30.407,20.239,78.309,43.0,,,,Not Applicable,False,0.114,11.047,11.485,8.316,7.509,16.136,11.747,False,,2021-04-14,38.98,2021-Apr-15-TMO.N-139752581855-Transcript,
2021-04-15,2021,Thermo Fisher Scientific acquiring PPD Inc,Acquisition,$17.4B cash + $3.5B debt,CRO pharma/biotech expansion,2021-Apr-15-TMO.N,3728332020.0,2021-04-15,2021-04-15,20728.433,PPD Inc,5071172659,Healthcare,Biotechnology,United States,Thermo Fisher Scientific Inc,4295905068,Healthcare,Healthcare Equipment & Supplies,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Thermo Fisher Scientific Inc (Thermo) acquired the entire share capital of PPD Inc (PPD), a Wilmington-based provider of biotechnology research and development services, from Hellman & Friedman LLC (37.921%), The Carlyle Group Inc (15.907%), and other shareholders, for USD 47.50 in cash per share, or a total value of USD 17.307 bil. Originally, in April 2021, Thermo was rumored to be planning to acquire PPD.","PPD Inc, located in Wilmington, North Carolina is a biotechnology research and development holding company. The Company provides clinical development and laboratory services to pharmaceutical, biotechnology, medical device and government organizations, as well as other industry participants. The Company's business segments include Clinical Development Services segment and Laboratory Services segment. Its Clinical Development Services offerings span the lifecycle of clinical product development and includes product development and consulting services, early development services, phases II-IV clinical trial management, accelerated enrollment solutions, pre- and post-approval services and medical communications. The Company's Laboratory Services segment offers bioanalytical laboratory services, biomarker laboratory services, vaccine science services, good manufacturing practice (GMP) laboratory services and central laboratory services.",Electromedical and Electrotherapeutic Apparatus Manufacturing,Rumored Deal,True,Disclosed Value,False,20675.254775,20674.5475,13357.153,175533.391,23.83,25.43,24.8,3.47,30.407,20.239,78.309,43.0,,,,Not Applicable,False,0.114,11.047,11.485,8.316,7.509,16.136,11.747,False,,2021-04-14,38.98,2021-Apr-15-TMO.N-139752581855-Transcript,
2021-04-23,2021,Knight Therapeutics acquiring Exelon rights from Novartis,Asset Acquisition,$168M + $12M milestones,Canada/LatAm exclusive rights,2021-Apr-23-GUD.TO,3752277040.0,2021-04-23,2021-04-23,180.0,Novartis AG-Canada & Latin America Exelon Brand Rights,,Healthcare,Pharmaceuticals,Canada,Knight Therapeutics Inc,,Healthcare,Pharmaceuticals,Canada,Pharmaceuticals (NEC),Disclosed Dollar Value Deal,Completed,"CANADA - Knight Therapeutics Inc acquired Canada & Latin America Exelon brand rights of Novartis AG, a Basel-based manufacturer of pharmaceutical preparation, for a total CAD 225.072 mil (USD 180 mil). The consideration consisted of CAD 210.067 mil (USD 168 mil) in cash and up to CAD 15.005 mil (USD 12 mil) in profit-related payments.","Canada & Latin America Exelon brand rights of Novartis AG, located in Canada.",Pharmaceutical Preparation Manufacturing,Divestiture,False,Disclosed Value,False,,,,,554.974,,0.0,0.0,0.0,,,,,,,Not Applicable,False,0.0,0.0,0.0,,0.0,,,False,,2021-04-23,,2021-Apr-23-GUD.TO-137126639495-Transcript,
2021-04-23,2021,Knight Therapeutics acquiring Exelon rights from Novartis,Asset Acquisition,$168M + $12M milestones,Canada/LatAm exclusive rights,2021-Apr-23-GUD.TO,3752277040.0,2021-04-23,2021-04-23,180.0,Novartis AG-Canada & Latin America Exelon Brand Rights,,Healthcare,Pharmaceuticals,Canada,Knight Therapeutics Inc,,Healthcare,Pharmaceuticals,Canada,Pharmaceuticals (NEC),Disclosed Dollar Value Deal,Completed,"CANADA - Knight Therapeutics Inc acquired Canada & Latin America Exelon brand rights of Novartis AG, a Basel-based manufacturer of pharmaceutical preparation, for a total CAD 225.072 mil (USD 180 mil). The consideration consisted of CAD 210.067 mil (USD 168 mil) in cash and up to CAD 15.005 mil (USD 12 mil) in profit-related payments.","Canada & Latin America Exelon brand rights of Novartis AG, located in Canada.",Pharmaceutical Preparation Manufacturing,Divestiture,False,Disclosed Value,False,,,,,554.974,,0.0,0.0,0.0,,,,,,,Not Applicable,False,0.0,0.0,0.0,,0.0,,,False,,2021-04-23,,2021-Apr-23-GUD.TO-137126639495-Transcript,
2021-04-28,2021,Leading BioSciences + Seneca Biopharma merger,Merger,$20M financing,"Palisade Bio, 74.3%/25.7% split",2021-Apr-28-PALI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Apr-28-PALI.OQ-139442935722-Transcript,
2021-04-28,2021,Leading BioSciences + Seneca Biopharma merger,Merger,$20M financing,"Palisade Bio, 74.3%/25.7% split",2021-Apr-28-PALI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Apr-28-PALI.OQ-139442935722-Transcript,
2021-08-04,2021,Acasti Pharma acquiring Grace Therapeutics,Acquisition,All-stock,Rare disease specialty combo,2021-Aug-04-GRCE.OQ,3738004020.0,2021-05-07,2021-05-07,69.048,Grace Therapeutics Inc,,Healthcare,Pharmaceuticals,United States,Acasti Pharma Inc,Healthcare,Pharmaceuticals,,Canada,Pharmaceuticals (NEC),Disclosed Dollar Value Deal,Completed,"US - Acasti Pharma Inc (Acasti) of Canada acquired the entire share capital of Grace Therapeutics Inc, an East Brunswick-based manufacturer of pharmaceutical preparation, in exchange for 170.489 mil common shares valued at USD 69.048 mil, in a stock swap transaction. The shares were valued based on Acastis closing stock price of USD 0.405 on 6 May 2021, the last full trading day prior to the announcement.","Grace Therapeutics Inc, located in East Brunswick, New Jersey, is a manufacturer of pharmaceutical preparation.",Mannufactures pharma ingredients,Stock Swap,False,Disclosed Value,True,69.048,69.048,,,,,,,0.0,0.0,,,,,,Not Applicable,False,0.0,0.0,0.0,,,,0.0,False,,2021-05-07,,2021-Aug-04-GRCE.OQ-139945011926-Transcript,
2021-08-04,2021,Acasti Pharma acquiring Grace Therapeutics,Acquisition,All-stock,Rare disease specialty combo,2021-Aug-04-GRCE.OQ,3738004020.0,2021-05-07,2021-05-07,69.048,Grace Therapeutics Inc,,Healthcare,Pharmaceuticals,United States,Acasti Pharma Inc,Healthcare,Pharmaceuticals,,Canada,Pharmaceuticals (NEC),Disclosed Dollar Value Deal,Completed,"US - Acasti Pharma Inc (Acasti) of Canada acquired the entire share capital of Grace Therapeutics Inc, an East Brunswick-based manufacturer of pharmaceutical preparation, in exchange for 170.489 mil common shares valued at USD 69.048 mil, in a stock swap transaction. The shares were valued based on Acastis closing stock price of USD 0.405 on 6 May 2021, the last full trading day prior to the announcement.","Grace Therapeutics Inc, located in East Brunswick, New Jersey, is a manufacturer of pharmaceutical preparation.",Mannufactures pharma ingredients,Stock Swap,False,Disclosed Value,True,69.048,69.048,,,,,,,0.0,0.0,,,,,,Not Applicable,False,0.0,0.0,0.0,,,,0.0,False,,2021-05-07,,2021-Aug-04-GRCE.OQ-139945011926-Transcript,
2021-08-09,2021,HUTCHMED licensing TAZVERIK from Epizyme,Licensing,$25M + $285M milestones,Greater China EZH2 inhibitor,2021-Aug-09-0013.HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Aug-09-0013.HK-140514233174-Transcript,
2021-08-09,2021,HUTCHMED licensing TAZVERIK from Epizyme,Licensing,$25M + $285M milestones,Greater China EZH2 inhibitor,2021-Aug-09-0013.HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-Aug-09-0013.HK-140514233174-Transcript,
2021-08-18,2021,Illumina reacquiring GRAIL Inc,Re-acquisition,$8B+,Cancer detection subsidiary,2021-Aug-18-ILMN.OQ,4146560020.0,2024-06-03,2024-06-13,484.38,GRAIL Inc,5083448228,Healthcare,Biotechnology,United States,Illumina,,Financials,Other Financials,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Illumina Inc (Illumina) completed the spin off of its 85.5% interest in GRAIL Inc (GRAIL), a Menlo Park-based provider of biotechnology research and development services, to its shareholders, in a transaction valued at total USD 484.38 mil. Illumina shareholders received 1 GRAIL share per 6 Illumina shares held. The shares were valued based on GRAIL's closing stock price of USD 18.63 on 24 January 2024, the first full trading day on which the shares were distributed. On completion, GRAIL was listed on Nasdaq under the ticker symbol GRAL.","GRAIL Inc, located in Menlo Park, California, is a healthcare company. It is focused on developing multi-cancer early detection test. Its Galleri, is currently in late-stage development. It also has locations in Washington DC, North Carolina and the United Kingdom. The Company was founded in 2016.",Investor group,Divestiture|Acquiror Is An Investor Group|Spinoff,False,Spinoffs|Disclosed Value,False,379.67,294.9035,,,,,,5.655,-0.691,0.0,-0.38,,342.439,321.413,455.334,Not Applicable,False,-8.188,0.0,0.0,0.0,0.0,67.606,152.425,False,,2023-12-17,,2021-Aug-18-ILMN.OQ-137422553344-Transcript,
2021-08-18,2021,Illumina reacquiring GRAIL Inc,Re-acquisition,$8B+,Cancer detection subsidiary,2021-Aug-18-ILMN.OQ,4146560020.0,2024-06-03,2024-06-13,484.38,GRAIL Inc,5083448228,Healthcare,Biotechnology,United States,Illumina,,Financials,Other Financials,United States,Biotechnology & Medical Research (NEC),Disclosed Dollar Value Deal,Completed,"US - Illumina Inc (Illumina) completed the spin off of its 85.5% interest in GRAIL Inc (GRAIL), a Menlo Park-based provider of biotechnology research and development services, to its shareholders, in a transaction valued at total USD 484.38 mil. Illumina shareholders received 1 GRAIL share per 6 Illumina shares held. The shares were valued based on GRAIL's closing stock price of USD 18.63 on 24 January 2024, the first full trading day on which the shares were distributed. On completion, GRAIL was listed on Nasdaq under the ticker symbol GRAL.","GRAIL Inc, located in Menlo Park, California, is a healthcare company. It is focused on developing multi-cancer early detection test. Its Galleri, is currently in late-stage development. It also has locations in Washington DC, North Carolina and the United Kingdom. The Company was founded in 2016.",Investor group,Divestiture|Acquiror Is An Investor Group|Spinoff,False,Spinoffs|Disclosed Value,False,379.67,294.9035,,,,,,5.655,-0.691,0.0,-0.38,,342.439,321.413,455.334,Not Applicable,False,-8.188,0.0,0.0,0.0,0.0,67.606,152.425,False,,2023-12-17,,2021-Aug-18-ILMN.OQ-137422553344-Transcript,
2021-08-23,2021,Pfizer acquiring Trillium Therapeutics,Acquisition,$2.26B cash,SIRPα-CD47 immunotherapy,2021-Aug-23-PFE.N,3788402040.0,2021-08-23,2021-08-23,1966.07362920209,Trillium Therapeutics Inc,,Healthcare,Biotechnology,Canada,Pfizer Inc,,Healthcare,Pharmaceuticals,United States,Bio Therapeutic Drugs,Disclosed Dollar Value Deal,Completed,"CANADA - Pfizer Inc (Pfizer) of the US acquired the remaining 98.073% interest, which it did not already own, in Trillium Therapeutics Inc (Trillium), a Mississauga-based manufacturer of biological products, for CAD 23.719 (USD 18.50) in cash per share, or a total value of CAD 2.829 bil (USD 2.207 bil). On completion, Trillium will be delisted from the Nasdaq Capital Market and Toronto Stock Exchange.","Trillium Therapeutics Inc, 1996. located in Mississauga, Ontario, is a provider of biotechnology research and development services. It is engaged in developing therapies for the treatment of cancer for immunoregulatory pathways. The Company was founded in 1996.","Manufacture,wholesale pharmaceuticals",Not Applicable,False,Disclosed Value,True,1722.17339075208,1726.75757142245,714.645135566188,,203.7,195.38,177.42,14351.752,-25.0,0.0,-25.799,17.572,45.9585283201549,,,Not Applicable,False,-574.075,0.0,0.0,,,,0.0,False,,2021-08-23,20.323,2021-Aug-23-PFE.N-140919965584-Transcript,
2021-08-23,2021,Pfizer acquiring Trillium Therapeutics,Acquisition,$2.26B cash,SIRPα-CD47 immunotherapy,2021-Aug-23-PFE.N,3788402040.0,2021-08-23,2021-08-23,1966.07362920209,Trillium Therapeutics Inc,,Healthcare,Biotechnology,Canada,Pfizer Inc,,Healthcare,Pharmaceuticals,United States,Bio Therapeutic Drugs,Disclosed Dollar Value Deal,Completed,"CANADA - Pfizer Inc (Pfizer) of the US acquired the remaining 98.073% interest, which it did not already own, in Trillium Therapeutics Inc (Trillium), a Mississauga-based manufacturer of biological products, for CAD 23.719 (USD 18.50) in cash per share, or a total value of CAD 2.829 bil (USD 2.207 bil). On completion, Trillium will be delisted from the Nasdaq Capital Market and Toronto Stock Exchange.","Trillium Therapeutics Inc, 1996. located in Mississauga, Ontario, is a provider of biotechnology research and development services. It is engaged in developing therapies for the treatment of cancer for immunoregulatory pathways. The Company was founded in 1996.","Manufacture,wholesale pharmaceuticals",Not Applicable,False,Disclosed Value,True,1722.17339075208,1726.75757142245,714.645135566188,,203.7,195.38,177.42,14351.752,-25.0,0.0,-25.799,17.572,45.9585283201549,,,Not Applicable,False,-574.075,0.0,0.0,,,,0.0,False,,2021-08-23,20.323,2021-Aug-23-PFE.N-140919965584-Transcript,
2021-08-30,2021,Petra Acquisition + Revelation Biosciences,SPAC Merger,$105M stock,Respiratory viral therapeutics,2021-Aug-30-REVB.OQ,3793113020.0,2021-08-30,2021-08-30,105.0,Revelation Biosciences Inc,,Healthcare,Pharmaceuticals,United States,Petra Acquisition Inc,,Financials,Alternative Financial Investments,United States,Pharmaceuticals (NEC),Disclosed Dollar Value Deal,Completed,"US - Petra Acquisition Inc (Petra), a unit of Petra Investment Holdings LLC, merged with Revelation Biosciences Inc (Revelation), a San Diego-based manufacturer of pharmaceutical preparation, for a total USD 105 mil, in a stock swap reverse takeover transaction. On completion of de-SPAC process, the merged entity was renamed Revelation Biosciences Inc and was listed on NASDAQ under the ticker symbol REVB. Petra and Revelation were to own 37.1% interest and 53.6% stake in the merged entity, respectively, and the remaining 9.3% stake owned by SPAC sponsors.","Revelation Biosciences Inc, Located in San Diego, California, is a clinical-stage biopharmaceutical company focused on the development of innate immune system therapeutics and diagnostics for the prevention and treatment of disease. It offers several product candidates in development. REVTx99, the lead therapeutic candidate, is a broad anti-viral nasal drop solution that can be used to treat respiratory viral infections, including Influenza A, Influenza B, parainfluenza, rhinovirus, respiratory syncytial virus and SARS-CoV-2 including its variants. The Company was founded in 2020.",Blank Check Company,Reverse Merger|Financial Acquiror|Stock Swap|Reverse Takeover,False,Disclosed Value,False,105,105,,23.135,,,,,0.0,0.0,,10.06,,,,Not Applicable,False,0.0,0.0,0.0,,,,0.0,False,,2021-08-30,10.54,2021-Aug-30-REVB.OQ-138246737960-Transcript,
